date,time,close,atm_strike,month
01-01-2024,09:45:00,21706.15,21700,January
01-01-2024,10:00:00,21724.0,21700,January
01-01-2024,10:15:00,21712.85,21700,January
01-01-2024,10:30:00,21710.45,21700,January
01-01-2024,10:45:00,21723.95,21700,January
01-01-2024,11:00:00,21739.65,21750,January
01-01-2024,11:15:00,21740.0,21750,January
01-01-2024,11:30:00,21745.8,21750,January
01-01-2024,11:45:00,21730.85,21750,January
01-01-2024,12:00:00,21731.95,21750,January
01-01-2024,12:15:00,21741.6,21750,January
01-01-2024,12:30:00,21714.1,21700,January
01-01-2024,12:45:00,21736.75,21750,January
01-01-2024,13:00:00,21739.9,21750,January
01-01-2024,13:15:00,21739.15,21750,January
01-01-2024,13:30:00,21751.25,21750,January
01-01-2024,13:45:00,21748.75,21750,January
01-01-2024,14:00:00,21771.35,21750,January
01-01-2024,14:15:00,21790.35,21800,January
01-01-2024,14:30:00,21798.5,21800,January
01-01-2024,14:45:00,21814.5,21800,January
02-01-2024,09:45:00,21731.2,21750,January
02-01-2024,10:00:00,21633.2,21650,January
02-01-2024,10:15:00,21662.7,21650,January
02-01-2024,10:30:00,21615.0,21600,January
02-01-2024,10:45:00,21592.25,21600,January
02-01-2024,11:00:00,21612.2,21600,January
02-01-2024,11:15:00,21579.6,21600,January
02-01-2024,11:30:00,21598.95,21600,January
02-01-2024,11:45:00,21593.0,21600,January
02-01-2024,12:00:00,21607.5,21600,January
02-01-2024,12:15:00,21620.7,21600,January
02-01-2024,12:30:00,21633.15,21650,January
02-01-2024,12:45:00,21642.0,21650,January
02-01-2024,13:00:00,21625.2,21650,January
02-01-2024,13:15:00,21623.15,21600,January
02-01-2024,13:30:00,21625.45,21650,January
02-01-2024,13:45:00,21629.7,21650,January
02-01-2024,14:00:00,21629.75,21650,January
02-01-2024,14:15:00,21657.45,21650,January
02-01-2024,14:30:00,21657.4,21650,January
02-01-2024,14:45:00,21680.9,21700,January
03-01-2024,09:45:00,21570.2,21550,January
03-01-2024,10:00:00,21581.65,21600,January
03-01-2024,10:15:00,21585.35,21600,January
03-01-2024,10:30:00,21569.25,21550,January
03-01-2024,10:45:00,21556.75,21550,January
03-01-2024,11:00:00,21567.25,21550,January
03-01-2024,11:15:00,21568.1,21550,January
03-01-2024,11:30:00,21562.85,21550,January
03-01-2024,11:45:00,21576.25,21600,January
03-01-2024,12:00:00,21572.3,21550,January
03-01-2024,12:15:00,21567.3,21550,January
03-01-2024,12:30:00,21533.4,21550,January
03-01-2024,12:45:00,21543.9,21550,January
03-01-2024,13:00:00,21564.75,21550,January
03-01-2024,13:15:00,21572.25,21550,January
03-01-2024,13:30:00,21572.6,21550,January
03-01-2024,13:45:00,21566.4,21550,January
03-01-2024,14:00:00,21573.1,21550,January
03-01-2024,14:15:00,21568.55,21550,January
03-01-2024,14:30:00,21557.55,21550,January
03-01-2024,14:45:00,21550.45,21550,January
04-01-2024,09:45:00,21612.8,21600,January
04-01-2024,10:00:00,21607.15,21600,January
04-01-2024,10:15:00,21638.15,21650,January
04-01-2024,10:30:00,21639.55,21650,January
04-01-2024,10:45:00,21639.7,21650,January
04-01-2024,11:00:00,21641.4,21650,January
