month,date,pair_trades,day_pnl,winning_pairs,losing_pairs,pair_stoploss_exits,max_loss_exits,forced_1459_exits,,,,cost of single trade ,,total trades,,total cost =,,pnl,final pnl
January,1/1/2024,20,-50000,0,20,1,19,0,,,,33,,4852,,160116,,423970.18,263854.18
January,2/1/2024,21,14070,19,2,1,0,20,,,,,,,,,,,
January,3/1/2024,21,31177.5,21,0,0,0,21,,,,,,,,,,,
January,4/1/2024,21,6870,21,0,0,0,21,,,,,,,,,,,
January,5/1/2024,21,16425,21,0,0,0,21,,,,,,,,,,,
January,8/1/2024,21,-22942.5,2,18,3,0,18,,,,,,,,,,,
January,9/1/2024,21,-42007.5,3,18,16,0,5,,,,,,,,,,,
January,10/1/2024,21,15300,14,7,0,0,21,,,,,,,,,,,
January,11/1/2024,21,5317.5,12,9,9,0,12,,,,,,,,,,,
January,12/1/2024,20,-49999.99,0,20,2,18,0,,,,,,,,,,,
January,15-01-2024,21,-1417.5,8,13,0,0,21,,,,,,,,,,,
January,16-01-2024,21,14205,19,2,2,0,19,,,,,,,,,,,
January,17-01-2024,21,-24997.5,8,13,8,0,13,,,,,,,,,,,
January,18-01-2024,21,12885,18,3,3,0,18,,,,,,,,,,,
January,19-01-2024,21,14175,16,5,0,0,21,,,,,,,,,,,
January,23-01-2024,19,-49999.99,1,18,8,11,0,,,,,,,,,,,
January,24-01-2024,21,-28117.5,6,15,3,0,18,,,,,,,,,,,
January,25-01-2024,21,30367.5,18,3,3,0,18,,,,,,,,,,,
January,29-01-2024,21,6982.5,11,10,0,0,21,,,,,,,,,,,
January,30-01-2024,21,-2857.5,9,12,0,0,21,,,,,,,,,,,
January,31-01-2024,21,9037.5,10,11,0,0,21,,,,,,,,,,,
February,1/2/2024,21,140947.5,21,0,0,0,21,,,,,,,,,,,
February,2/2/2024,8,-49999.99,0,8,2,6,0,,,,,,,,,,,
February,5/2/2024,20,-50000,1,19,0,20,0,,,,,,,,,,,
February,6/2/2024,21,24487.5,21,0,0,0,21,,,,,,,,,,,
February,7/2/2024,21,57037.5,20,1,0,0,21,,,,,,,,,,,
February,8/2/2024,21,-9742.5,6,15,15,0,6,,,,,,,,,,,
February,9/2/2024,21,42450,20,1,0,0,21,,,,,,,,,,,
February,12/2/2024,14,-50000,0,13,0,14,0,,,,,,,,,,,
February,13-02-2024,21,21630,19,2,0,0,21,,,,,,,,,,,
February,14-02-2024,19,-50000,0,19,10,9,0,,,,,,,,,,,
February,15-02-2024,21,14872.5,12,9,9,0,12,,,,,,,,,,,
February,16-02-2024,21,29835,20,1,0,0,21,,,,,,,,,,,
February,19-02-2024,21,19200,20,1,0,0,21,,,,,,,,,,,
February,20-02-2024,21,38872.5,21,0,0,0,21,,,,,,,,,,,
February,21-02-2024,19,-50000,1,18,11,8,0,,,,,,,,,,,
February,22-02-2024,21,-39630,1,20,20,0,1,,,,,,,,,,,
February,23-02-2024,21,27262.5,21,0,0,0,21,,,,,,,,,,,
February,26-02-2024,21,29377.5,18,3,0,0,21,,,,,,,,,,,
February,27-02-2024,21,32002.5,19,2,0,0,21,,,,,,,,,,,
February,28-02-2024,14,-50000,1,13,5,9,0,,,,,,,,,,,
February,29-02-2024,21,48870,18,3,3,0,18,,,,,,,,,,,
March,1/3/2024,21,-3442.5,13,8,0,0,21,,,,,,,,,,,
