month,date,entry_time,exit_time,qty_per_leg,ce_strike,pe_strike,ce_entry_price,pe_entry_price,ce_exit_price,pe_exit_price,entry_combined_premium,exit_combined_premium,pair_stoploss_level,pair_pnl,exit_reason,ce_file,pe_file,event_dt,market_pair_pnl,kill_switch_adjustment,cum_realized_pnl
January,01-01-2024,12:30:00,14:42:00,150,21950,21450,36.45,22.4,77.3,11.4,58.85,88.7,88.275,-4477.5,PAIR_STOPLOSS_HIT,NIFTY24010421950CE.csv,NIFTY24010421450PE.csv,2024-01-01 14:42:00,,0.0,-4477.5
January,01-01-2024,09:45:00,14:43:00,150,21950,21450,38.1,30.3,81.75,11.45,68.4,93.2,102.6,-2969.38,MAX_LOSS_EXIT_STRICT,NIFTY24010421950CE.csv,NIFTY24010421450PE.csv,2024-01-01 14:43:00,-3720.0,0.0,-7446.88
January,01-01-2024,10:00:00,14:43:00,150,21950,21450,44.95,25.65,81.75,11.45,70.6,93.2,105.9,-2705.97,MAX_LOSS_EXIT_STRICT,NIFTY24010421950CE.csv,NIFTY24010421450PE.csv,2024-01-01 14:43:00,-3390.0,0.0,-10152.85
January,01-01-2024,10:15:00,14:43:00,150,21950,21450,41.1,25.7,81.75,11.45,66.8,93.2,100.2,-3160.95,MAX_LOSS_EXIT_STRICT,NIFTY24010421950CE.csv,NIFTY24010421450PE.csv,2024-01-01 14:43:00,-3960.0,0.0,-13313.8
January,01-01-2024,10:30:00,14:43:00,150,21950,21450,37.7,26.05,81.75,11.45,63.75,93.2,95.625,-3526.14,MAX_LOSS_EXIT_STRICT,NIFTY24010421950CE.csv,NIFTY24010421450PE.csv,2024-01-01 14:43:00,-4417.5,0.0,-16839.94
January,01-01-2024,10:45:00,14:43:00,150,21950,21450,39.65,23.8,81.75,11.45,63.45,93.2,95.175,-3562.06,MAX_LOSS_EXIT_STRICT,NIFTY24010421950CE.csv,NIFTY24010421450PE.csv,2024-01-01 14:43:00,-4462.5,0.0,-20402.0
January,01-01-2024,11:00:00,14:43:00,150,22000,21500,33.35,27.45,61.7,14.45,60.8,76.15,91.2,-1837.9,MAX_LOSS_EXIT_STRICT,NIFTY24010422000CE.csv,NIFTY24010421500PE.csv,2024-01-01 14:43:00,-2302.5,0.0,-22239.9
January,01-01-2024,11:15:00,14:43:00,150,22000,21500,32.45,28.1,61.7,14.45,60.55,76.15,90.825,-1867.84,MAX_LOSS_EXIT_STRICT,NIFTY24010422000CE.csv,NIFTY24010421500PE.csv,2024-01-01 14:43:00,-2340.0,0.0,-24107.74
January,01-01-2024,11:30:00,14:43:00,150,22000,21500,33.8,26.8,61.7,14.45,60.6,76.15,90.9,-1861.85,MAX_LOSS_EXIT_STRICT,NIFTY24010422000CE.csv,NIFTY24010421500PE.csv,2024-01-01 14:43:00,-2332.5,0.0,-25969.59
January,01-01-2024,11:45:00,14:43:00,150,22000,21500,30.05,29.35,61.7,14.45,59.4,76.15,89.1,-2005.53,MAX_LOSS_EXIT_STRICT,NIFTY24010422000CE.csv,NIFTY24010421500PE.csv,2024-01-01 14:43:00,-2512.5,0.0,-27975.12
January,01-01-2024,12:00:00,14:43:00,150,22000,21500,29.15,29.3,61.7,14.45,58.45,76.15,87.675,-2119.27,MAX_LOSS_EXIT_STRICT,NIFTY24010422000CE.csv,NIFTY24010421500PE.csv,2024-01-01 14:43:00,-2655.0,0.0,-30094.39
January,01-01-2024,12:15:00,14:43:00,150,22000,21500,31.9,24.6,61.7,14.45,56.5,76.15,84.75,-2352.75,MAX_LOSS_EXIT_STRICT,NIFTY24010422000CE.csv,NIFTY24010421500PE.csv,2024-01-01 14:43:00,-2947.5,0.0,-32447.14
January,01-01-2024,12:45:00,14:43:00,150,22000,21500,29.0,25.2,61.7,14.45,54.2,76.15,81.3,-2628.14,MAX_LOSS_EXIT_STRICT,NIFTY24010422000CE.csv,NIFTY24010421500PE.csv,2024-01-01 14:43:00,-3292.5,0.0,-35075.28
January,01-01-2024,13:00:00,14:43:00,150,22000,21500,29.05,24.65,61.7,14.45,53.7,76.15,80.55,-2688.01,MAX_LOSS_EXIT_STRICT,NIFTY24010422000CE.csv,NIFTY24010421500PE.csv,2024-01-01 14:43:00,-3367.5,0.0,-37763.29
January,01-01-2024,13:15:00,14:43:00,150,22000,21500,30.25,24.0,61.7,14.45,54.25,76.15,81.375,-2622.15,MAX_LOSS_EXIT_STRICT,NIFTY24010422000CE.csv,NIFTY24010421500PE.csv,2024-01-01 14:43:00,-3285.0,0.0,-40385.44
January,01-01-2024,13:30:00,14:43:00,150,22000,21500,30.1,23.15,61.7,14.45,53.25,76.15,79.875,-2741.89,MAX_LOSS_EXIT_STRICT,NIFTY24010422000CE.csv,NIFTY24010421500PE.csv,2024-01-01 14:43:00,-3435.0,0.0,-43127.33
January,01-01-2024,13:45:00,14:43:00,150,22000,21500,28.7,22.8,61.7,14.45,51.5,76.15,77.25,-2951.42,MAX_LOSS_EXIT_STRICT,NIFTY24010422000CE.csv,NIFTY24010421500PE.csv,2024-01-01 14:43:00,-3697.5,0.0,-46078.75
January,01-01-2024,14:00:00,14:43:00,150,22000,21500,37.05,19.5,61.7,14.45,56.55,76.15,84.825,-2346.77,MAX_LOSS_EXIT_STRICT,NIFTY24010422000CE.csv,NIFTY24010421500PE.csv,2024-01-01 14:43:00,-2940.0,0.0,-48425.52
January,01-01-2024,14:15:00,14:43:00,150,22050,21550,35.2,22.3,45.85,18.2,57.5,64.05,86.25,-784.25,MAX_LOSS_EXIT_STRICT,NIFTY24010422050CE.csv,NIFTY24010421550PE.csv,2024-01-01 14:43:00,-982.5,0.0,-49209.77
January,01-01-2024,14:30:00,14:43:00,150,22050,21550,35.45,22.0,45.85,18.2,57.45,64.05,86.175,-790.23,MAX_LOSS_EXIT_STRICT_ADJ,NIFTY24010422050CE.csv,NIFTY24010421550PE.csv,2024-01-01 14:43:00,-990.0,0.01,-50000.0
January,02-01-2024,09:45:00,10:36:00,150,22000,21500,20.85,21.8,12.05,60.75,42.65,72.8,63.975,-4522.5,PAIR_STOPLOSS_HIT,NIFTY24010422000CE.csv,NIFTY24010421500PE.csv,2024-01-02 10:36:00,,,-4522.5
January,02-01-2024,10:00:00,14:59:00,150,21900,21400,24.8,22.25,17.35,18.5,47.05,35.85,70.575,1680.0,FORCE_EXIT_1459,NIFTY24010421900CE.csv,NIFTY24010421400PE.csv,2024-01-02 14:59:00,,,-2842.5
January,02-01-2024,10:15:00,14:59:00,150,21900,21400,27.0,18.6,17.35,18.5,45.6,35.85,68.4,1462.5,FORCE_EXIT_1459,NIFTY24010421900CE.csv,NIFTY24010421400PE.csv,2024-01-02 14:59:00,,,-1380.0
January,02-01-2024,10:30:00,14:59:00,150,21850,21350,29.2,18.35,25.3,13.95,47.55,39.25,71.325,1245.0,FORCE_EXIT_1459,NIFTY24010421850CE.csv,NIFTY24010421350PE.csv,2024-01-02 14:59:00,,,-135.0
January,02-01-2024,10:45:00,14:59:00,150,21850,21350,27.0,25.7,25.3,13.95,52.7,39.25,79.05,2017.5,FORCE_EXIT_1459,NIFTY24010421850CE.csv,NIFTY24010421350PE.csv,2024-01-02 14:59:00,,,1882.5
January,02-01-2024,11:00:00,14:59:00,150,21850,21350,28.15,19.95,25.3,13.95,48.1,39.25,72.15,1327.5,FORCE_EXIT_1459,NIFTY24010421850CE.csv,NIFTY24010421350PE.csv,2024-01-02 14:59:00,,,3210.0
January,02-01-2024,11:15:00,14:59:00,150,21850,21350,24.3,25.0,25.3,13.95,49.3,39.25,73.95,1507.5,FORCE_EXIT_1459,NIFTY24010421850CE.csv,NIFTY24010421350PE.csv,2024-01-02 14:59:00,,,4717.5
January,02-01-2024,11:30:00,14:59:00,150,21850,21350,25.9,21.75,25.3,13.95,47.65,39.25,71.475,1260.0,FORCE_EXIT_1459,NIFTY24010421850CE.csv,NIFTY24010421350PE.csv,2024-01-02 14:59:00,,,5977.5
January,02-01-2024,11:45:00,14:59:00,150,21850,21350,24.15,23.05,25.3,13.95,47.2,39.25,70.8,1192.5,FORCE_EXIT_1459,NIFTY24010421850CE.csv,NIFTY24010421350PE.csv,2024-01-02 14:59:00,,,7170.0
January,02-01-2024,12:00:00,14:59:00,150,21850,21350,24.65,21.05,25.3,13.95,45.7,39.25,68.55,967.5,FORCE_EXIT_1459,NIFTY24010421850CE.csv,NIFTY24010421350PE.csv,2024-01-02 14:59:00,,,8137.5
January,02-01-2024,12:15:00,14:59:00,150,21850,21350,27.8,18.3,25.3,13.95,46.1,39.25,69.15,1027.5,FORCE_EXIT_1459,NIFTY24010421850CE.csv,NIFTY24010421350PE.csv,2024-01-02 14:59:00,,,9165.0
January,02-01-2024,12:30:00,14:59:00,150,21900,21400,19.3,22.25,17.35,18.5,41.55,35.85,62.325,855.0,FORCE_EXIT_1459,NIFTY24010421900CE.csv,NIFTY24010421400PE.csv,2024-01-02 14:59:00,,,10020.0
January,02-01-2024,12:45:00,14:59:00,150,21900,21400,19.75,20.75,17.35,18.5,40.5,35.85,60.75,697.5,FORCE_EXIT_1459,NIFTY24010421900CE.csv,NIFTY24010421400PE.csv,2024-01-02 14:59:00,,,10717.5
